Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/10959-506,$650.000.000,145 m²,3,3
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/11325-284197,$220.000.000,84 m²,3,2
"Apartamento en Venta, El Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-1-garajes/9851-101001,$310.000.000,122 m²,3,2
"Apartamento en Venta, ALTOS DE RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-4-banos-2-garajes/11325-520029,$398.000.000,130 m²,4,4
"Apartamento en Venta, ALTOS  DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-1-habitaciones-1-banos-1-garajes/11832-M2727479,$260.000.000,49 m²,1,1
"Apartamento en Venta, Bellavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-bellavista-2-habitaciones-1-banos-1-garajes/2361-93976,$200.000.000,57 m²,2,1
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-3-banos-2-garajes/2969-3861,$400.000.000,146 m²,3,3
"Casa en Venta, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-paraiso-4-habitaciones-5-banos-1-garajes/9851-13840,$600.000.000,360 m²,4,5
"Casa en Venta, Paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-solaire-4-habitaciones-3-banos-4-garajes/9851-12687,$570.000.000,346 m²,4,3
"Apartamento en Venta, Alameda del Rio, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-2-habitaciones-2-banos/9851-13647,$180.000.000,58 m²,2,2
"Apartamento en Venta, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-3-banos/11576-186,$500.000.000,138 m²,3,3
"Casa en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-urbanizacion-los-corales-3-habitaciones-3-banos-2-garajes/9851-7931,$570.000.000,180 m²,3,3
"Apartamento en Venta, CIUDAD JARDIN, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-1-habitaciones-1-banos-1-garajes/11325-1826003,$185.100.000,49 m²,1,1
"Apartamento en Venta, El Recreo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-2-habitaciones-2-banos-1-garajes/130-3765,$220.000.000,72 m²,2,2
"Casa en Venta, EL RECREO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-recreo-3-habitaciones-3-banos-2-garajes/11328-M2776359,$360.000.000,214 m²,3,3
"Casa en Venta, BOSTON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-altos-del-prado-5-habitaciones-3-banos/10926-2983885,$340.000.000,264 m²,5,3
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/10881-3304507,$225.000.000,61 m²,3,2
"Casa en Venta, Simón Bolívar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-simon-bolivar-4-habitaciones-2-banos-1-garajes/2398-21912,$195.000.000,80 m²,4,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-4-garajes/10338-1976993,$2.500.000.000,330 m²,3,5
